"Amps","Latency","ID","Day","Sex","Weight","BL","Treatment","Surgery","DP1","EODonset"
0.238279482659095,4.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.253209978626145,4.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.405229573927018,4.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.646332901695869,4.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.711952197450741,5.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.809289046289217,5.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.777056648517096,5.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.472892647081768,5.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.296456932461738,5.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0853082047521727,6.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0439022107118899,6.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0175827261806325,6.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.00731703511864832,6.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0211554362918702,6.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0505795903084389,7.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0859634616284696,7.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.125232070143689,7.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.211507558856109,7.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.22592321013464,7.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.2820880852458,8.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.324071329391392,8.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.457026069862865,8.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.514095823517483,8.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.705805263896908,8.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.721078989656307,9.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.762469382342389,9.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.791987144484143,9.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
